_id,broadcast_score,collab_score,country,engagement,followers,creator_id,median_views,name,price,category,followers_num,engagement_num,median_views_num,price_num,broadcast_score_num,collab_score_num,category_list,n_categories,followers_num_missing,engagement_num_missing,median_views_num_missing,price_num_missing,broadcast_score_num_missing,collab_score_num_missing,followers_num_log1p,median_views_num_log1p,price_num_log1p,followers_num_outlier_iqr,engagement_num_outlier_iqr,median_views_num_outlier_iqr,price_num_outlier_iqr,price_tier,size_tier,category_group_list,primary_category_group,is_usable_for_clustering,sampling_stratum
benice.andy,90.3,75,Unknown,7.37%,483.3K,benice.andy,2.8K,Andy 🐰🤍,"2,367,900 VND","Lip Syncing, Beauty & Personal Care, Apparel & Accessories, Skincare, Selfie",483300.0,7.37,2800.0,2367900.0,90.3,75.0,"['Lip Syncing', 'Beauty & Personal Care', 'Apparel & Accessories', 'Skincare', 'Selfie']",5,0,0,0,0,0,0,13.08839492693925,7.937731775260109,14.677514466679646,False,False,False,False,mid,micro,"['Entertainment', 'Beauty & Fashion', 'Others']",Entertainment,True,micro | mid | Entertainment
baelovejasmine,N/A,74.1,Unknown,9.22%,215.5K,baelovejasmine,4.7K,Bánh iu 🧸,"235,000 VND","Selfie, Fitness, Lip Syncing",215500.0,9.22,4700.0,235000.0,,74.1,"['Selfie', 'Fitness', 'Lip Syncing']",3,0,0,0,0,1,0,12.280720828886404,8.45553053102413,12.367345048436391,False,False,False,False,low,micro,"['Beauty & Fashion', 'Others', 'Entertainment']",Beauty & Fashion,True,micro | low | Beauty & Fashion
_.sammeouu,91.8,77.5,Unknown,9.65%,46.8K,_.sammeouu,22.8K,𝒔𝒂𝒎𝒆𝒐,"1,973,250 VND","Lip Syncing, Beauty Tutorials & Tips, Dance, E-Commerce (Non-app), Cosmetics, Apparel & Accessories, Beauty & Personal Care",46800.0,9.65,22800.0,1973250.0,91.8,77.5,"['Lip Syncing', 'Beauty Tutorials & Tips', 'Dance', 'E-Commerce (Non-app)', 'Cosmetics', 'Apparel & Accessories', 'Beauty & Personal Care']",7,0,0,0,0,0,0,10.753659849198824,10.034559673629849,14.495192994348677,False,False,False,False,mid,micro,"['Entertainment', 'Beauty & Fashion', 'Others']",Entertainment,True,micro | mid | Entertainment
tieuthunhatboi,N/A,78,Unknown,6.46%,25.9K,tieuthunhatboi,44.3K,Tiểu Thư Nhất Bối,"30,000,000 VND","Family, Babies",25900.0,6.46,44300.0,30000000.0,,78.0,"['Family', 'Babies']",2,0,0,0,0,1,0,10.16203685698089,10.698762529141884,17.216707972959764,False,False,False,True,high,micro,"['Lifestyle', 'Others']",Lifestyle,True,micro | high | Lifestyle
khoingong,N/A,83.1,Unknown,0.12%,155.9K,khoingong,6.7K,Khôi Ngọng,"3,500,000 VND",Tech Products & Tests,155900.0,0.12,6700.0,3500000.0,,83.1,['Tech Products & Tests'],1,0,0,0,0,1,0,11.956976469393481,8.81001204797317,15.068273812173887,False,False,False,False,mid,micro,['Knowledge / Tech'],Knowledge / Tech,True,micro | mid | Knowledge / Tech
co3bodysieutrangda,N/A,73.4,Unknown,13.67%,82.7K,co3bodysieutrangda,2.1K,Cô 3 sóc trăng,"500,000 VND","Beauty & Personal Care, Food & Beverage, Health, Beauty Tutorials & Tips, Lip Syncing, Skincare",82700.0,13.67,2100.0,500000.0,,73.4,"['Beauty & Personal Care', 'Food & Beverage', 'Health', 'Beauty Tutorials & Tips', 'Lip Syncing', 'Skincare']",6,0,0,0,0,1,0,11.322986972837104,7.650168700845001,13.122365377402328,False,False,False,False,low,micro,"['Beauty & Fashion', 'Others', 'Entertainment']",Beauty & Fashion,True,micro | low | Beauty & Fashion
mmialody,N/A,77.6,Unknown,9.28%,368.5K,mmialody,109.6K,mía,"10,000,000 VND",Music,368500.0,9.28,109600.0,10000000.0,,77.6,['Music'],1,0,0,0,0,1,0,12.817198704312052,11.604601777542019,16.118095750958314,False,False,False,False,high,micro,['Entertainment'],Entertainment,True,micro | high | Entertainment
kinduong93,N/A,74.5,Unknown,1.86%,95.1K,kinduong93,66.6K,Kin Dương,"1,000,000 VND",Love & Romantic Relationships,95100.0,1.86,66600.0,1000000.0,,74.5,['Love & Romantic Relationships'],1,0,0,0,0,1,0,11.462694763725304,11.106474871430772,13.815511557963774,False,False,False,False,mid,micro,['Lifestyle'],Lifestyle,True,micro | mid | Lifestyle
trannghia_actor,N/A,76,Unknown,3.26%,106.1K,trannghia_actor,9.9K,Trần Nghĩa,"20,000,000 VND","Daily Life, Movies & TV",106100.0,3.26,9900.0,20000000.0,,76.0,"['Daily Life', 'Movies & TV']",2,0,0,0,0,1,0,11.572146749628347,9.200391041122515,16.811242881518265,False,False,False,True,high,micro,"['Lifestyle', 'Entertainment']",Lifestyle,True,micro | high | Lifestyle
hoangbao0112,98.6,80,Unknown,13.91%,473.4K,hoangbao0112,203.4K,hbao,"10,000,000 VND","Daily Life, Lip Syncing",473400.0,13.91,203400.0,10000000.0,98.6,80.0,"['Daily Life', 'Lip Syncing']",2,0,0,0,0,0,0,13.067698088438327,12.222934679005357,16.118095750958314,False,False,True,False,high,micro,"['Lifestyle', 'Entertainment']",Lifestyle,True,micro | high | Lifestyle
