FOLLOWERS,VIDEO_COUNT,VIDEO_COUNT_3M_x,VIEW_STD,VIEW_CV,VIEW_MEAN_V,MEAN_LIKES_3M,MAX_LIKES_3M,MEAN_COMMENTS_3M,MAX_COMMENTS_3M,MEAN_SHARES_3M,MAX_SHARES_3M,MEAN_SAVES_3M,MAX_SAVES_3M,MEAN_VIEWS_RATE_3M,MEAN_LIKE_RATE_3M,MEAN_COMMENT_RATE_3M,MEAN_SHARE_RATE_3M,MEAN_SAVE_RATE_3M,AVG_POST_GAP,POSTING_CONSISTENCY,VIDEOS_PER_WEEK,MAX_VIRAL_STRENGTH,COLLAB_SCORE
71000,151,25.0,265319.9807387173,2.269105582489744,116927.12,8773.36,72800.0,41.28,489.0,1352.0,14100.0,315.2,2574.0,1.6468608450704227,0.0717303170630407,0.0005350385697035,0.0071238112443558,0.0039037066944226,3.406707658179013,0.2527472527472527,1.9230769230769231,9.40756943291336,77.3
382300,171,15.0,451625.5152447287,1.3406373681159311,336873.73333333334,6740.866666666667,44900.0,256.8666666666667,2103.0,4161.8,52800.0,509.73333333333335,3393.0,0.8811763885255907,0.0184282408299676,0.0008438762034657,0.0042775514136328,0.0014712077002971,5.1913707010582,0.1428571428571428,1.1538461538461535,3.56216552748875,78.1
21200,365,32.0,76562.97027344708,1.2948696252452947,59127.9375,912.875,8961.0,25.34375,125.0,24.65625,135.0,42.8125,475.0,2.789053655660377,0.0159324876661288,0.0005695408249063,0.0005806258743543,0.0006138584160308,2.7738213112305856,0.3296703296703296,2.4615384615384617,6.741314120643201,68.4
90300,1136,515.0,388557.3015211649,4.271851313042315,90957.59029126214,3055.3067961165048,147300.0,16.714563106796117,1509.0,110174.08932038836,6600000.0,180.9961165048544,8576.0,1.0072822845101013,0.0166908098162187,0.0004215563818924,0.2773451256435396,0.0009534031326417,0.0845218151030407,0.4835164835164835,39.61538461538461,39.57888493343536,89.5
232500,1043,239.0,481076.1911353376,2.6161133164678234,183889.6610878661,2292.5020920502093,74300.0,78.64435146443515,3694.0,298.0334728033473,34900.0,350.4937238493724,12291.0,0.7909232734961983,0.0092359593625696,0.0004210572550093,0.0006810859404656,0.0016217380718645,0.3704636437908497,0.912087912087912,18.384615384615383,30.453044324736428,76.7
90600,2624,388.0,16226.661117053589,1.757830599235313,9231.072164948451,450.29896907216494,8026.0,9.868556701030927,210.0,10.422680412371134,289.0,63.396907216494846,1421.0,0.1018882137411529,0.0518252548440984,0.0013223874406066,0.0011447293157464,0.0070752332525434,0.2283492439467891,0.8571428571428571,29.846153846153847,16.032807169024405,74.9
36200,289,4.0,1394968.7890773758,0.8649225979734384,1612825.0,41478.25,71500.0,147.5,229.0,6057.25,15800.0,1947.75,4350.0,44.553176795580114,0.0361546769292512,0.0003310950579062,0.0181913777089783,0.0015713266827198,8.684023919753086,0.0329670329670329,0.3076923076923077,2.1081022429574765,73.3
107300,191,78.0,88906.11638410672,2.261733784565258,39308.833333333336,1387.7692307692307,18200.0,10.435897435897436,156.0,104.56410256410255,1744.0,392.62820512820514,8056.0,0.3663451382416899,0.0419329088365144,0.0007266926038966,0.0018712666964061,0.0062046853070478,0.5660173160173161,0.4945054945054945,6.0,13.727194480959058,78.5
84200,198,3.0,10808.792717042918,0.1038308618341891,104100.0,501.3333333333333,1240.0,34.666666666666664,37.0,87.0,135.0,126.0,184.0,1.2363420427553444,0.00530436503668,0.0003370020581,0.0008789539544923,0.0012467169598443,12.711730324074075,0.0329670329670329,0.2307692307692307,1.0835734870212914,69.4
1200000,717,10.0,437089.95781443233,1.5811958101973416,276430.0,10939.0,44300.0,40.8,144.0,473.4,1913.0,396.5,1554.0,0.2303583333333333,0.0444606135374708,0.000312989325729,0.0016335696736142,0.0017741023802379,8.896213991769548,0.1098901098901098,0.7692307692307693,5.064573309680337,76.4
