FOLLOWERS,VIDEO_COUNT,VIDEO_COUNT_3M_x,VIEW_STD,VIEW_CV,VIEW_MEAN_V,VIEW_P90,MEAN_LIKES_3M,P90_LIKES_3M,MAX_LIKES_3M,MEAN_COMMENTS_3M,P90_COMMENTS_3M,MAX_COMMENTS_3M,MEAN_SHARES_3M,P90_SHARES_3M,MAX_SHARES_3M,MEAN_SAVES_3M,P90_SAVES_3M,MAX_SAVES_3M,MEAN_VIEWS_RATE_3M,MEAN_LIKE_RATE_3M,MEAN_COMMENT_RATE_3M,MEAN_SHARE_RATE_3M,MEAN_SAVE_RATE_3M,AVG_POST_GAP,POSTING_CONSISTENCY,VIDEOS_PER_WEEK,MAX_VIRAL_STRENGTH,COLLAB_SCORE
105700.0,157,22.0,57057.41046111485,3.2271129434705923,17680.636363636364,9775.8,1644.5,1627.9000000000017,23500.0,28.954545454545453,44.30000000000004,297.0,18.59090909090909,27.900000000000023,225.0,63.36363636363637,88.70000000000009,790.0,0.167271867205642,0.1090187192705475,0.0026656095399427,0.0016603149358981,0.0050026128807479,4.012968474426808,0.1978021978021978,1.6923076923076923,15.42365299392936,78.1
361200.0,129,20.0,148665.4315108788,0.4866298903777158,305500.0,502950.00000000006,11747.1,22120.000000000004,25500.0,53.0,88.80000000000001,151.0,118.15,190.20000000000007,1162.0,315.0,547.8000000000002,1796.0,0.8457918050941308,0.0375951454714241,0.0001777737326975,0.0002876937186112,0.0009113740623782,4.316231115984405,0.2197802197802197,1.5384615384615383,1.928314238946225,85.7
172200.0,475,122.0,124102.82322242056,1.754101069768693,70750.09836065574,227220.00000000003,7191.549180327869,27630.000000000025,95800.0,24.852459016393443,28.0,396.0,482.9180327868853,308.3000000000005,20700.0,362.27868852459017,1009.3000000000006,5932.0,0.4108600369376059,0.0679954401880122,0.0007188578176065,0.0027994895562521,0.005191149116892,0.7209581611570248,0.7142857142857143,9.384615384615383,11.734259304577046,86.5
150900.0,329,26.0,12839.069096916044,1.4852562434370196,8644.346153846154,16550.0,1051.6153846153843,2322.0,6527.0,5.5,11.0,21.0,29.115384615384617,70.5,158.0,99.5,265.0,486.0,0.0572852627822806,0.1191780845915288,0.0008388436626878,0.0031981305879333,0.0116575899185867,3.2794060185185185,0.2857142857142857,2.0,7.716026036579637,77.3
12200.0,40,5.0,64424.80112503259,0.804304633261277,80100.0,147260.0,9675.0,14220.0,15100.0,25.8,39.8,45.0,703.2,1682.8000000000002,2060.0,308.8,637.0,683.0,6.5655737704918025,0.1383305598082461,0.0004812374712275,0.0063112350875622,0.0035156733374806,4.262251157407407,0.0549450549450549,0.3846153846153846,2.323345817698834,74.2
381300.0,495,43.0,125641.52680390676,2.538881825305528,49486.95348837209,79480.0,1348.2093023255811,3193.200000000003,13700.0,12.093023255813954,14.600000000000009,243.0,107.7906976744186,161.6000000000002,2573.0,109.53488372093024,184.80000000000013,1906.0,0.1297848242548442,0.0369265613567746,0.0003815343839788,0.0014406257822627,0.0020597623763377,2.0641884369488537,0.4615384615384615,3.3076923076923075,16.72359968931482,71.0
701700.0,1757,35.0,24746.10827316544,1.5753280553541456,15708.542857142857,38860.000000000015,1675.0285714285717,5253.800000000003,15900.0,13.8,36.00000000000004,76.0,150.65714285714284,528.6000000000006,1414.0,156.28571428571428,646.4000000000005,1482.0,0.0223864085180887,0.0688462637514497,0.0010956873517786,0.0044043115227228,0.0046792359933834,1.4421071623093682,0.3516483516483517,2.6923076923076925,7.67735117694156,76.6
152600.0,73,4.0,28745.898258128356,0.5255191637587355,54700.0,82910.0,9888.75,17580.0,20700.0,5.25,7.4,8.0,135.0,289.90000000000003,361.0,107.75,210.20000000000005,257.0,0.3584534731323722,0.163870530085937,0.0001172416868806,0.0019242165975761,0.0016710572748707,16.647993827160494,0.0439560439560439,0.3076923076923077,1.758683729401121,71.2
32600.0,51,18.0,212979.92529316552,1.1544545110650768,184485.3333333333,506890.0000000001,7556.833333333333,23450.000000000004,31800.0,29.72222222222222,93.7,123.0,1033.111111111111,2869.0000000000023,7099.0,839.1111111111111,2674.9,3272.0,5.659059304703477,0.0342247079213962,0.0001659136799525,0.0033677375137815,0.0041570621561722,4.938246187363835,0.1978021978021978,1.3846153846153846,3.8447500794796072,72.4
130300.0,884,118.0,349236.791281245,3.660310398560939,95411.79661016948,87539.99999999997,1190.6016949152545,1646.0,16600.0,45.97457627118644,77.0,244.0,133.38983050847455,121.29999999999995,7357.0,109.1271186440678,121.0,4570.0,0.7322470960105103,0.0203445600713922,0.002354723477528,0.0013857482312225,0.0016258355472417,0.7423673433048432,0.7142857142857143,9.076923076923077,32.490741293064545,92.2
897900.0,895,38.0,1483309.4820518096,3.3406287230241465,444021.0526315789,536690.0000000013,12940.394736842103,20460.0,263400.0,169.55263157894737,249.9,2851.0,1140.1052631578948,607.2000000000014,26700.0,960.2105263157896,1112.100000000001,19898.0,0.4945105831736039,0.0264791262969515,0.0004512879461098,0.0010036621565955,0.0021213519109504,2.297070508008008,0.4175824175824176,2.923076923076923,20.494523730455004,76.9
1000000.0,1218,65.0,228642.4831125886,2.185523899926663,104616.78461538462,172820.00000000003,7227.261538461538,12540.0,123400.0,49.53846153846154,60.0,1005.0,254.4923076923077,358.6,4572.0,468.89230769230767,764.8000000000001,8850.0,0.1046167846153846,0.0713112403589961,0.0006201744886326,0.0014912754400901,0.0043666588738004,1.3595222077546296,0.5934065934065934,5.0,14.338043417223098,78.1
247800.0,893,22.0,56188.98614029288,0.8873399313525699,63322.954545454544,128300.0,3213.1363636363635,4936.700000000002,7012.0,47.09090909090909,63.10000000000002,98.0,12.318181818181818,2.900000000000002,247.0,26.454545454545453,35.60000000000001,248.0,0.255540575243965,0.1059076090891425,0.0103137467946595,9.305926581411547e-05,0.0094838703645107,4.147857142857143,0.1978021978021978,1.6923076923076923,3.7869363758774015,74.6
273600.0,614,30.0,419163.46344039065,4.364105540003033,96047.96666666666,28830.000000000087,4625.933333333333,2451.7000000000025,110400.0,45.16666666666666,22.500000000000007,1030.0,457.6,34.70000000000007,12800.0,213.96666666666667,135.10000000000005,4993.0,0.3510525097465887,0.0623142321516108,0.0007851488168807,0.0009859040401567,0.0035054816399951,2.8256565293742018,0.2417582417582417,2.3076923076923075,23.946368463563385,77.2
1000000.0,197,5.0,2075205.7098032476,1.383230713210953,1500260.0,3580000.0,22585.4,49900.0,66100.0,6070.0,13353.600000000002,18300.0,5169.2,11690.8,17000.0,3501.0,7809.4000000000015,11653.0,1.50026,0.02715592233249,0.0042184541954234,0.0042314945160493,0.0038630970549874,17.750703125,0.0549450549450549,0.3846153846153846,3.399410768797809,74.2
12900.0,121,23.0,204237.03577715653,1.4778120867048434,138202.30434782608,334580.00000000006,8777.95652173913,22860.000000000004,48000.0,161.56521739130434,432.4,833.0,1227.608695652174,2760.6000000000004,7888.0,591.4782608695652,1465.8000000000002,2945.0,10.71335692618807,0.0617533988668309,0.0019414847562225,0.0072679234999569,0.0048434922737927,1.6492103324915826,0.2087912087912088,1.7692307692307692,6.715517547793214,78.8
21300.0,574,20.0,53335.41306763018,1.206312380498848,44213.6,73730.00000000007,2530.55,6037.200000000005,11300.0,71.2,170.20000000000005,219.0,267.6,913.5000000000006,1813.0,181.7,531.9000000000003,917.0,2.0757558685446007,0.0574117844775194,0.0027435178500669,0.0041325881675878,0.0036952000904141,4.539337231968811,0.2087912087912088,1.5384615384615383,5.396529574488471,72.3
261300.0,151,55.0,1091959.7382736625,2.470946510054977,441919.61818181816,943760.0,9138.50909090909,29920.000000000004,89000.0,105.9090909090909,207.0,1618.0,358.7454545454545,662.2,10300.0,467.8363636363636,1417.6,5572.0,1.6912346658316806,0.0243181580225277,0.0003534304844079,0.0003767148366724,0.0011972383338679,1.5882143775720166,0.4395604395604395,4.230769230769231,16.292555713200823,94.5
