"CREATOR_ID","FOLLOWERS","FOLLOWING_COUNT","ENGAGEMENT","TOTAL_LIKES","DIGG_COUNT","VIDEO_COUNT","COLLAB_SCORE","HAS_BROADCAST_SCORE","PRICE_NUM","grp_ENTERTAINMENT","grp_LIFESTYLE","grp_FOOD","grp_BEAUTY","grp_FASHION","grp_GAMING","grp_TECH","grp_COMMERCE","grp_EDUCATION","grp_NEWS","grp_PETS_NATURE","grp_SPORTS","grp_TRAVEL","grp_FAMILY_KIDS","grp_HOME_DIY","grp_UNKNOWN","CATEGORY_GROUP_COUNT"
"cout.long.an",12.1579375167782,3.2188758248682,5.18,14.3461393972616,6.35262939631957,6.43133108193348,76.6,"0",14.5086582385241,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"baybabe777",10.8297484170476,5.10594547390058,2.04,11.2332247895934,8.04942705711069,4.56434819146784,70.9,"0",13.1223653774023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"doanhuyofficial",12.1431381705558,3.73766961828337,5.88,15.2505953213488,6.7093043402583,4.59511985013459,69.2,"0",14.9141231799657,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"duong_iugdhoangchanhkhai",11.9766657704908,3.89182029811063,1.07,15.7025803585118,10.1697289067531,7.92117272158701,87.7,"0",14.2855148122098,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4
"leebinsg",11.9791783188443,4.04305126783455,5.15,13.3841136072373,5.15905529921453,2.89037175789616,73.8,"0",14.5086582385241,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
"viemde79",11.4478641405282,4.54329478227,1.79,13.9108216468591,6.51174532964473,6.87212810133899,75.7,"0",12.2060776455177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"nhatruc2k8",11.2935373531574,4.91998092582813,4.45,14.6484201156819,9.75851958228352,7.4079243225596,86.4,"1",12.2060776455177,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
"ngocmit2005",10.6987625291419,0,7.96,12.6704385375584,3.93182563272433,4.46590811865458,79.8,"1",11.5129354649202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ganrer_at",12.0627852460275,2.30258509299405,5.89,15.2971153261612,3.40119738166216,7.10332206252611,77.4,"1",12.4568352549204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"khanhly.2308",9.83633227734872,6.3491389913798,12.33,13.9978329480912,8.13798045445214,7.12367278520461,76.3,"0",11.5129354649202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"quan.tap.edit1",10.0476311856162,7.33236920592906,3.52,13.5557043189581,7.87092959675514,5.26269018890489,78.8,"1",16.1180957509583,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"benice.andy",13.0877740030259,5.04342511691925,7.37,15.5733686479304,9.15704507491796,4.7361984483945,75,"1",14.6775144666796,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
"phantheanh88",11.7558794866871,4.31748811353631,3.91,13.9108216468591,11.314486721294,5.84354441703136,72.5,"0",16.648723960844,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3
"v2dgamer",10.1145990076265,2.56494935746154,9.1,14.3461393972616,3.80666248977032,6.13339804299665,79.6,"1",12.2060776455177,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"tuyet__86",10.8911869022975,2.19722457733622,8.19,14.1519835088709,7.82124208352356,3.71357206670431,77.6,"1",11.5129354649202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"chiechaivbiz1",11.5038948110845,4.31748811353631,2.56,15.856731016694,9.03372251809891,8.13446757027756,76.1,"0",12.1007176854125,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
